Diet,Transport,Electricity Usage (kWh),Vehicle Type,Vehicle Monthly Distance Km,Heating Energy Source,Energy efficiency,How Long TV PC Daily Hour,How Long Internet Daily Hour,Waste Bag Size,Waste Bag Weekly Count,How Many New Clothes Monthly,Frequency of Traveling by Air,CarbonEmission
pescatarian,private,33,lpg,8299,electricity,Sometimes,4,14,small,2,33,never,3469
vegetarian,private,25.5,electric,4439,wood,Sometimes,5,7,medium,1,38,frequently,1926
omnivore,private,46.5,hybrid,7904,electricity,Yes,10,11,large,5,8,rarely,2665
vegan,private,36,electric,1637,coal,Sometimes,0,24,large,7,17,never,2443
vegan,private,48,electric,6893,electricity,No,5,22,small,3,18,frequently,1699
omnivore,private,43.5,lpg,66,wood,Sometimes,12,5,medium,6,6,frequently,2145
vegan,private,51,diesel,4733,natural gas,Yes,6,22,medium,1,30,very frequently,4263
vegetarian,private,69,electric,550,coal,Yes,14,18,medium,2,16,very frequently,2475
vegan,private,100.5,lpg,5868,wood,Yes,23,21,large,4,7,rarely,3098
vegan,private,39,electric,9219,wood,Sometimes,9,8,small,1,18,never,893
vegetarian,private,64.5,diesel,2267,natural gas,No,18,7,small,2,28,very frequently,2662
vegan,private,28.5,diesel,5165,natural gas,No,3,13,extra large,3,2,rarely,2534
pescatarian,private,33,petrol,7189,natural gas,No,0,22,small,5,50,frequently,5158
vegan,private,93,hybrid,8108,wood,Yes,20,22,extra large,6,32,very frequently,4202
vegetarian,private,75,diesel,5349,wood,No,15,20,large,5,46,frequently,3693
pescatarian,private,90,hybrid,8930,wood,Sometimes,19,22,medium,7,6,very frequently,4814
pescatarian,private,51,electric,8712,wood,No,13,8,extra large,4,29,very frequently,3392
pescatarian,private,39,petrol,3422,coal,No,2,22,medium,4,24,very frequently,4080
omnivore,private,19.5,diesel,6028,wood,Yes,3,7,medium,5,43,very frequently,3758
vegetarian,private,72,diesel,8609,electricity,No,17,14,small,3,5,frequently,2779
pescatarian,private,99,hybrid,454,coal,Yes,24,18,large,3,25,never,1851
vegetarian,private,33,petrol,2752,wood,No,11,0,large,2,28,never,1694
vegetarian,private,40.5,lpg,1071,coal,Sometimes,13,1,extra large,1,25,never,1786
omnivore,private,48,electric,7031,electricity,Sometimes,10,12,large,2,47,very frequently,2780
vegetarian,private,42,lpg,4298,wood,No,5,18,medium,5,50,frequently,3006
vegan,private,51,lpg,7618,natural gas,Sometimes,8,18,extra large,2,20,never,3114
vegetarian,private,78,lpg,8301,natural gas,No,22,8,extra large,6,11,frequently,3727
vegan,private,69,lpg,7523,coal,No,12,22,small,4,29,very frequently,4124
pescatarian,private,40.5,diesel,7757,electricity,No,9,9,small,4,33,frequently,2988
omnivore,private,84,diesel,3748,wood,Yes,17,22,medium,7,26,very frequently,3791
vegetarian,private,33,petrol,3148,wood,No,9,4,large,7,27,frequently,3630
vegetarian,private,75,petrol,5151,electricity,Sometimes,19,12,extra large,4,19,rarely,3341
pescatarian,private,55.5,lpg,8585,natural gas,Yes,18,1,small,7,34,never,3942
vegan,private,28.5,electric,7677,electricity,No,8,3,small,5,41,very frequently,2551
vegetarian,private,61.5,hybrid,2456,wood,No,16,9,medium,3,31,never,1710
vegan,private,34.5,petrol,3229,coal,Yes,10,3,medium,1,42,very frequently,4352
vegan,private,72,hybrid,3294,electricity,Yes,19,10,large,3,49,never,2062
vegan,private,22.5,electric,5409,electricity,Yes,6,3,large,5,10,very frequently,1886
vegetarian,private,96,diesel,9427,coal,Sometimes,22,20,extra large,3,7,rarely,3781
vegetarian,private,45,electric,131,electricity,Sometimes,9,12,medium,4,1,frequently,1227
vegan,private,21,electric,8843,coal,Sometimes,3,8,extra large,1,7,very frequently,1945
vegan,private,61.5,diesel,556,natural gas,Sometimes,17,7,medium,4,38,very frequently,2812
vegetarian,private,79.5,hybrid,5956,wood,Yes,24,5,small,4,45,never,1707
omnivore,private,73.5,hybrid,3325,electricity,Yes,22,5,medium,6,21,very frequently,3149
vegetarian,private,46.5,lpg,3055,electricity,No,13,5,extra large,6,39,frequently,3412
vegetarian,private,67.5,diesel,8077,electricity,Yes,17,11,medium,2,50,rarely,3509
vegetarian,private,63,petrol,2077,wood,No,11,20,extra large,1,30,rarely,2626
vegan,private,37.5,electric,5043,coal,Sometimes,12,1,medium,5,13,frequently,2268
vegan,private,82.5,petrol,7179,electricity,Sometimes,21,13,medium,6,9,never,3821
omnivore,private,22.5,petrol,7186,electricity,No,4,7,large,5,11,rarely,3508
vegetarian,private,67.5,lpg,7486,natural gas,No,12,21,medium,5,10,very frequently,4359
omnivore,private,55.5,hybrid,3604,electricity,No,14,9,large,1,0,rarely,1824
pescatarian,private,36,diesel,5037,coal,Yes,7,10,extra large,2,10,frequently,2946
vegetarian,private,102,lpg,4071,electricity,Sometimes,23,22,small,5,9,rarely,2195
vegan,private,70.5,hybrid,7430,coal,No,15,17,small,5,39,rarely,3284
vegan,private,64.5,lpg,4989,coal,No,20,3,small,1,50,rarely,2642
omnivore,private,75,hybrid,2041,natural gas,No,15,20,small,2,43,never,1804
omnivore,private,61.5,diesel,2212,wood,Sometimes,15,11,medium,7,26,frequently,3319
pescatarian,private,60,lpg,3368,electricity,No,12,16,small,7,27,never,2042
vegan,private,75,diesel,3757,electricity,No,14,22,medium,3,8,frequently,2451
vegan,private,34.5,lpg,5134,coal,No,5,13,medium,5,11,rarely,2714
pescatarian,private,102,lpg,1230,wood,No,24,20,small,2,17,very frequently,3088
vegetarian,private,15,diesel,1630,coal,No,5,0,small,5,28,very frequently,3231
pescatarian,private,61.5,electric,3900,electricity,No,15,11,extra large,6,31,very frequently,2312
pescatarian,private,15,lpg,9671,wood,No,5,0,extra large,3,12,very frequently,4922
vegan,private,78,diesel,6465,wood,Yes,16,20,medium,2,13,rarely,2328
vegetarian,private,55.5,diesel,421,electricity,Sometimes,18,1,large,2,11,frequently,1146
vegetarian,private,46.5,lpg,4276,electricity,Sometimes,10,11,small,6,26,very frequently,3197
omnivore,private,99,electric,2218,electricity,Yes,24,18,medium,1,33,frequently,1984
vegetarian,private,21,hybrid,6994,natural gas,Sometimes,4,6,small,4,4,rarely,2079
vegetarian,private,75,hybrid,6883,electricity,Sometimes,19,12,small,3,4,very frequently,3122
vegetarian,private,60,hybrid,4737,electricity,Yes,16,8,large,7,13,frequently,2545
vegetarian,private,58.5,electric,5027,wood,Yes,15,9,medium,6,36,frequently,1799
vegetarian,private,22.5,petrol,5330,electricity,Yes,6,3,medium,7,23,rarely,2813
pescatarian,private,46.5,hybrid,7390,coal,Sometimes,11,9,large,3,0,very frequently,3040
vegetarian,private,30,lpg,2929,wood,Yes,2,16,medium,6,4,rarely,2211
omnivore,private,55.5,lpg,546,natural gas,Sometimes,14,9,extra large,3,39,frequently,2594
vegan,private,58.5,diesel,9745,electricity,No,19,1,extra large,1,45,very frequently,4556
omnivore,private,46.5,electric,8797,coal,Yes,13,5,small,7,23,never,1059
vegan,private,81,lpg,9980,wood,Sometimes,17,20,small,7,45,rarely,5663
vegan,private,72,lpg,3192,wood,Yes,12,24,small,4,41,rarely,2248
vegan,private,19.5,petrol,798,wood,Sometimes,0,13,extra large,3,33,rarely,2401
vegetarian,private,106.5,electric,2389,electricity,Yes,24,23,extra large,5,38,never,1480
omnivore,private,46.5,lpg,9773,wood,Sometimes,5,21,large,2,12,frequently,4307
omnivore,private,43.5,diesel,3310,natural gas,Sometimes,13,3,large,4,11,very frequently,3881
vegetarian,private,43.5,hybrid,2910,coal,No,12,5,medium,3,5,frequently,2708
vegetarian,private,54,hybrid,7715,wood,No,7,22,large,2,46,rarely,3432
omnivore,private,25.5,petrol,2553,natural gas,Yes,4,9,extra large,3,29,rarely,3050
pescatarian,private,70.5,hybrid,6510,electricity,Yes,23,1,medium,6,19,frequently,2744
pescatarian,private,42,hybrid,7285,electricity,Sometimes,14,0,extra large,1,7,never,1757
pescatarian,private,87,petrol,6743,electricity,No,20,18,large,1,23,frequently,4416
pescatarian,private,66,petrol,1025,wood,Yes,12,20,extra large,1,14,rarely,1543
omnivore,private,21,electric,6798,wood,Sometimes,4,6,extra large,5,13,frequently,2055
pescatarian,private,61.5,diesel,3002,electricity,No,10,21,small,1,36,very frequently,3468
pescatarian,private,88.5,diesel,1298,coal,Yes,19,21,large,6,47,never,2690
pescatarian,private,21,petrol,8881,wood,Yes,0,14,small,7,4,rarely,4323
pescatarian,private,60,hybrid,49,coal,No,8,24,small,4,6,very frequently,2363
pescatarian,private,100.5,petrol,8741,electricity,Yes,22,23,small,1,32,never,4562
pescatarian,private,64.5,diesel,9828,natural gas,No,18,7,medium,7,33,very frequently,4490
vegan,private,63,electric,3457,electricity,Yes,13,16,large,1,15,very frequently,1859
pescatarian,private,60,petrol,7934,natural gas,No,20,0,large,3,37,rarely,4631
vegan,private,10.5,diesel,9242,wood,Yes,0,7,medium,7,33,rarely,3085
vegan,private,43.5,diesel,9704,wood,Yes,13,3,extra large,4,36,never,2969
omnivore,private,96,diesel,7988,natural gas,No,21,22,medium,2,41,never,3641
vegetarian,private,66,lpg,3194,natural gas,Sometimes,17,10,small,6,45,rarely,2796
vegetarian,private,30,lpg,3654,coal,Sometimes,4,12,small,5,50,rarely,2637
pescatarian,private,81,lpg,370,coal,No,19,16,large,1,41,frequently,2258
omnivore,private,55.5,lpg,8001,wood,No,13,11,medium,2,2,never,3201
omnivore,private,69,electric,8876,coal,Yes,16,14,medium,7,37,frequently,2608
pescatarian,private,91.5,diesel,7440,natural gas,No,24,13,large,7,41,never,4039
vegetarian,private,60,lpg,678,wood,Yes,20,0,extra large,7,41,very frequently,3036
vegetarian,private,48,petrol,6683,electricity,Yes,6,20,medium,1,1,very frequently,3624
pescatarian,private,82.5,lpg,4195,wood,Yes,24,7,small,3,50,never,2855
vegan,private,27,lpg,4562,wood,Sometimes,8,2,large,7,50,frequently,3571
vegan,private,34.5,hybrid,4428,wood,No,11,1,large,6,44,rarely,2751
omnivore,private,45,hybrid,9282,electricity,No,11,8,medium,7,27,frequently,3199
pescatarian,private,3,lpg,7025,electricity,Yes,0,2,medium,2,49,never,3443
vegan,private,84,hybrid,5321,coal,No,16,24,medium,4,41,rarely,2598
vegetarian,private,37.5,electric,7423,coal,Sometimes,7,11,extra large,2,12,never,1479
vegetarian,private,34.5,electric,4373,coal,No,11,1,medium,2,14,rarely,1184
omnivore,private,43.5,hybrid,7576,natural gas,Sometimes,10,9,large,7,9,never,2514
vegetarian,private,90,diesel,2468,wood,No,18,24,small,7,43,rarely,2334
omnivore,private,82.5,lpg,8542,coal,No,18,19,large,1,7,frequently,4131
pescatarian,private,40.5,electric,9970,electricity,Sometimes,2,23,extra large,6,48,rarely,2127
omnivore,private,54,lpg,6040,natural gas,Yes,7,22,small,3,49,never,2779
omnivore,private,27,lpg,1943,natural gas,Yes,9,0,large,7,14,frequently,2966
pescatarian,private,37.5,petrol,2132,coal,Yes,8,9,medium,5,37,very frequently,2886
vegan,private,57,petrol,185,electricity,Yes,9,20,medium,2,5,rarely,572
omnivore,private,70.5,petrol,3674,electricity,Yes,15,17,extra large,4,44,frequently,4285
vegan,private,54,electric,7643,coal,No,12,12,large,5,46,rarely,1837
vegan,private,39,lpg,3237,coal,Sometimes,6,14,small,3,46,very frequently,2721
omnivore,private,93,lpg,8451,wood,Sometimes,21,20,large,7,36,frequently,5247
pescatarian,private,54,hybrid,1439,electricity,Yes,14,8,medium,1,2,rarely,1089
vegan,private,43.5,lpg,5498,electricity,No,8,13,extra large,7,18,very frequently,4658
omnivore,private,48,lpg,8858,natural gas,Sometimes,11,10,medium,6,10,never,3875
pescatarian,private,48,hybrid,8590,natural gas,Sometimes,7,18,extra large,5,36,never,3191
vegan,private,57,hybrid,911,coal,Sometimes,12,14,medium,3,38,very frequently,3129
pescatarian,private,87,hybrid,5132,electricity,Sometimes,21,16,small,7,46,never,2445
pescatarian,private,60,lpg,9734,natural gas,Yes,11,18,extra large,7,0,very frequently,5444
omnivore,private,58.5,electric,1092,coal,Yes,16,7,large,6,12,rarely,2052
pescatarian,private,69,petrol,9363,coal,Sometimes,11,24,large,4,10,frequently,5425
omnivore,private,73.5,electric,4407,natural gas,Yes,18,13,extra large,7,29,very frequently,2922
omnivore,private,52.5,diesel,5098,natural gas,No,7,21,large,5,8,very frequently,4963
omnivore,private,69,lpg,4055,electricity,Sometimes,18,10,large,1,32,rarely,2207
omnivore,private,9,petrol,352,electricity,Sometimes,1,4,medium,5,13,rarely,1073
vegetarian,private,81,electric,4273,wood,Sometimes,21,12,medium,6,41,rarely,2177
pescatarian,private,54,lpg,1769,electricity,Yes,18,0,extra large,7,34,frequently,2519
omnivore,private,42,lpg,6372,natural gas,Yes,12,4,medium,7,44,rarely,3529
omnivore,private,43.5,diesel,6063,wood,Yes,9,11,medium,7,42,rarely,2819
vegetarian,private,54,hybrid,8744,coal,Sometimes,6,24,medium,7,46,frequently,3404
omnivore,private,57,lpg,1574,electricity,Sometimes,19,0,small,5,4,never,1721
vegan,private,73.5,diesel,7287,electricity,No,19,11,medium,6,29,frequently,3613
vegan,private,72,hybrid,508,wood,Yes,20,8,large,6,43,very frequently,2676
pescatarian,private,69,electric,1995,coal,Sometimes,12,22,extra large,3,0,rarely,1183
vegan,private,33,lpg,1800,wood,No,2,18,large,3,42,very frequently,3579
omnivore,private,72,petrol,3913,wood,Sometimes,19,10,extra large,6,30,very frequently,5238
omnivore,private,52.5,petrol,5677,coal,No,8,19,small,2,34,frequently,4385
pescatarian,private,49.5,electric,667,coal,No,11,11,medium,4,8,never,1499
pescatarian,private,13.5,diesel,7330,wood,Yes,0,9,large,5,18,very frequently,3780
vegetarian,private,36,diesel,5743,wood,Sometimes,3,18,small,3,37,rarely,2817
omnivore,private,34.5,diesel,2948,electricity,Sometimes,11,1,small,4,8,never,1903
pescatarian,private,52.5,hybrid,2677,wood,Sometimes,6,23,small,2,20,never,1594
pescatarian,private,51,hybrid,6711,wood,Sometimes,11,12,large,3,6,rarely,2344
vegetarian,private,72,lpg,9670,coal,Yes,17,14,medium,2,48,very frequently,5411
vegan,private,70.5,hybrid,9996,electricity,Yes,23,1,small,1,4,very frequently,3538
vegan,private,67.5,electric,6992,electricity,Sometimes,18,9,large,1,45,rarely,752
pescatarian,private,34.5,diesel,4202,wood,Yes,11,1,extra large,2,48,frequently,2799
vegan,private,57,lpg,5546,natural gas,Sometimes,12,14,extra large,7,24,never,3804
omnivore,private,82.5,diesel,8347,electricity,No,24,7,large,4,0,never,2789
omnivore,private,72,hybrid,8216,natural gas,Sometimes,23,2,large,7,27,rarely,2534
vegan,private,66,petrol,3627,electricity,No,21,2,medium,6,3,very frequently,2930
omnivore,private,75,hybrid,4411,coal,No,21,8,extra large,7,10,rarely,2992
vegetarian,private,43.5,diesel,5513,natural gas,Yes,8,13,large,3,34,never,2774
vegetarian,private,88.5,petrol,6804,wood,Sometimes,18,23,extra large,6,21,rarely,4231
vegetarian,private,40.5,hybrid,695,electricity,Yes,4,19,medium,3,22,frequently,2005
omnivore,private,31.5,petrol,1652,natural gas,No,2,17,small,7,11,never,1537
pescatarian,private,64.5,hybrid,8271,wood,No,10,23,medium,7,19,rarely,2943
vegetarian,private,63,lpg,885,coal,Sometimes,16,10,small,1,22,very frequently,3147
vegan,private,34.5,lpg,5415,wood,No,6,11,large,3,36,never,2796
vegan,private,24,electric,1776,electricity,No,1,14,large,2,33,frequently,2238
pescatarian,private,88.5,petrol,217,coal,Yes,21,17,medium,6,47,frequently,3142
omnivore,private,70.5,diesel,9469,coal,Yes,22,3,large,3,49,rarely,5462
vegetarian,private,42,electric,6811,coal,Sometimes,13,2,large,1,45,very frequently,2725
omnivore,private,19.5,hybrid,779,electricity,Sometimes,2,9,extra large,7,24,very frequently,3464
vegan,private,46.5,petrol,1992,wood,Yes,11,9,small,4,49,very frequently,3265
vegan,private,42,hybrid,5914,coal,No,5,18,extra large,5,7,rarely,2837
vegetarian,private,37.5,petrol,6066,natural gas,Yes,1,23,medium,5,9,rarely,3685
vegetarian,private,10.5,lpg,5869,wood,Sometimes,3,1,medium,3,3,frequently,3537
pescatarian,private,78,lpg,8886,wood,No,24,4,small,3,37,very frequently,4545
omnivore,private,28.5,electric,574,electricity,Yes,4,11,medium,3,1,frequently,1000
pescatarian,private,54,electric,6393,electricity,Sometimes,15,6,small,6,50,frequently,1543
omnivore,private,82.5,petrol,599,coal,No,23,9,small,3,14,rarely,1534
vegetarian,private,96,diesel,8667,electricity,Yes,24,16,small,4,38,rarely,2890
omnivore,private,100.5,diesel,7684,electricity,Yes,24,19,extra large,5,30,rarely,3747
vegetarian,private,66,petrol,5781,natural gas,Yes,12,20,extra large,6,30,frequently,4933
pescatarian,private,57,electric,7427,natural gas,No,8,22,extra large,4,48,frequently,2369
omnivore,private,13.5,diesel,3436,coal,No,4,1,extra large,6,48,very frequently,4040
vegetarian,private,64.5,hybrid,6130,wood,Sometimes,20,3,extra large,7,10,never,2617
vegetarian,private,52.5,electric,5351,electricity,Sometimes,9,17,medium,2,1,frequently,1374
pescatarian,private,57,hybrid,8052,electricity,Sometimes,15,8,small,7,49,very frequently,3589
omnivore,private,45,diesel,8304,wood,No,3,24,large,6,35,frequently,4464
vegetarian,private,49.5,electric,9872,electricity,No,5,23,small,7,1,rarely,1052
vegan,private,33,diesel,6741,electricity,No,2,18,large,4,45,very frequently,5005
omnivore,private,60,petrol,1568,natural gas,No,8,24,medium,6,24,never,2450
vegetarian,private,96,diesel,4240,coal,No,22,20,small,5,44,frequently,3831
vegetarian,private,12,hybrid,3477,natural gas,No,4,0,large,5,30,never,1681
pescatarian,private,63,lpg,3514,electricity,No,15,12,large,4,31,never,2542
vegetarian,private,96,hybrid,9258,natural gas,Sometimes,22,20,extra large,7,44,frequently,4270
pescatarian,private,55.5,lpg,2537,natural gas,Sometimes,8,21,extra large,3,10,never,2029
omnivore,private,43.5,lpg,7878,wood,Yes,7,15,small,3,28,never,3180
vegan,private,73.5,electric,7510,coal,Yes,14,21,medium,1,5,rarely,1024
omnivore,private,81,hybrid,9513,wood,Yes,16,22,medium,4,2,frequently,3953
vegetarian,private,48,hybrid,7191,electricity,Yes,15,2,large,1,17,rarely,2479
pescatarian,private,45,hybrid,6425,coal,No,10,10,extra large,4,4,frequently,3586
vegan,private,46.5,petrol,4684,wood,Yes,9,13,extra large,7,44,frequently,3600
vegan,private,27,lpg,2217,natural gas,No,3,12,large,5,13,rarely,1914
vegan,private,25.5,diesel,8713,coal,Yes,3,11,extra large,4,28,never,4887
vegetarian,private,102,hybrid,2703,wood,Yes,22,24,medium,1,16,never,1575
pescatarian,private,55.5,lpg,7491,electricity,No,17,3,large,2,50,frequently,3312
omnivore,private,48,diesel,5944,electricity,Sometimes,9,14,large,2,32,rarely,3367
vegetarian,private,81,electric,1824,wood,No,21,12,extra large,1,42,frequently,1651
vegetarian,private,10.5,petrol,7874,electricity,No,1,5,extra large,3,3,rarely,4663
pescatarian,private,61.5,diesel,2851,wood,Sometimes,17,7,medium,7,8,frequently,2901
omnivore,private,93,lpg,9486,coal,Sometimes,21,20,extra large,3,3,never,3656
vegetarian,private,37.5,petrol,5497,coal,Yes,11,3,large,1,20,rarely,3308
omnivore,private,75,electric,9629,natural gas,Yes,23,4,large,2,12,rarely,1103
vegan,private,88.5,hybrid,9072,wood,No,20,19,small,6,1,very frequently,3877
omnivore,private,51,diesel,9318,natural gas,Yes,5,24,medium,7,12,never,4617
omnivore,private,37.5,electric,1308,natural gas,Yes,8,9,extra large,3,31,rarely,1737
omnivore,private,100.5,lpg,1020,electricity,Sometimes,23,21,extra large,7,1,very frequently,2994
vegetarian,private,57,electric,7107,coal,Yes,9,20,extra large,4,43,never,1687
vegan,private,100.5,hybrid,7375,natural gas,Sometimes,22,23,large,4,10,rarely,2545
vegan,private,36,lpg,6260,electricity,No,8,8,extra large,5,17,very frequently,4009
pescatarian,private,81,lpg,3271,natural gas,Sometimes,18,18,extra large,6,11,rarely,2696
vegan,private,91.5,diesel,8754,natural gas,No,22,17,large,6,3,frequently,3959
vegetarian,private,100.5,petrol,8731,natural gas,Yes,24,19,large,3,38,never,5346
omnivore,private,19.5,hybrid,9936,coal,Sometimes,5,3,small,1,40,very frequently,4914
pescatarian,private,48,lpg,9686,electricity,Yes,9,14,extra large,6,46,very frequently,6738
vegan,private,37.5,electric,5674,wood,No,4,17,small,3,21,frequently,1809
omnivore,private,91.5,lpg,3881,wood,Sometimes,23,15,medium,4,34,never,2166
vegetarian,private,54,lpg,1019,coal,Sometimes,6,24,extra large,1,37,rarely,1921
omnivore,private,76.5,hybrid,2825,coal,Sometimes,20,11,large,6,10,frequently,2180
vegan,private,60,lpg,5380,wood,Yes,8,24,small,5,14,frequently,4255
vegetarian,private,79.5,lpg,9664,natural gas,Yes,15,23,small,2,22,very frequently,4497
omnivore,private,70.5,lpg,1363,electricity,No,23,1,extra large,6,7,rarely,1434
vegetarian,private,66,lpg,7243,coal,Yes,17,10,large,5,7,never,3575
pescatarian,private,37.5,petrol,8977,wood,Yes,12,1,large,1,19,very frequently,5667
vegan,private,39,hybrid,4842,natural gas,Sometimes,10,6,small,7,41,very frequently,3299
vegan,private,48,petrol,7300,wood,No,13,6,small,3,38,frequently,4584
pescatarian,private,66,diesel,1335,natural gas,No,14,16,extra large,3,39,very frequently,4063
vegan,private,64.5,hybrid,8111,coal,No,15,13,medium,6,6,rarely,2347
vegetarian,private,61.5,hybrid,3825,natural gas,No,16,9,small,3,34,very frequently,2864
omnivore,private,36,hybrid,4685,wood,No,3,18,extra large,2,34,very frequently,3370
vegetarian,private,45,hybrid,6808,electricity,Yes,14,2,extra large,7,3,very frequently,3549
omnivore,private,42,lpg,6469,natural gas,Yes,5,18,large,3,21,frequently,3792
vegetarian,private,33,electric,8848,coal,No,10,2,medium,6,47,never,2070
vegan,private,67.5,hybrid,5902,electricity,Yes,13,19,extra large,6,28,never,2357
pescatarian,private,27,electric,2883,electricity,Sometimes,9,0,large,2,43,very frequently,2161
vegan,private,46.5,petrol,2829,electricity,No,13,5,small,7,2,frequently,2573
vegetarian,private,85.5,electric,8948,coal,Yes,23,11,large,5,6,never,1460
vegan,private,12,diesel,553,wood,Sometimes,4,0,extra large,3,14,frequently,1929
vegetarian,private,54,diesel,180,wood,Sometimes,18,0,small,4,39,very frequently,3227
pescatarian,private,82.5,electric,9514,wood,Sometimes,23,9,small,5,48,rarely,1616
vegan,private,40.5,lpg,3147,electricity,No,3,21,medium,1,46,never,1626
omnivore,private,73.5,hybrid,9408,electricity,No,21,7,large,7,23,frequently,4787
omnivore,private,49.5,electric,122,natural gas,Sometimes,7,19,medium,3,2,very frequently,2474
pescatarian,private,40.5,diesel,3428,natural gas,Yes,3,21,medium,3,19,frequently,2679
vegan,private,49.5,diesel,1122,wood,Yes,11,11,extra large,2,10,rarely,1302
omnivore,private,60,petrol,6645,coal,Sometimes,19,2,large,6,33,very frequently,6160
pescatarian,private,96,petrol,8241,coal,Sometimes,23,18,small,6,5,frequently,4680
pescatarian,private,25.5,petrol,1262,coal,Sometimes,4,9,large,5,6,frequently,2032
omnivore,private,57,petrol,3362,wood,Yes,19,0,extra large,7,3,rarely,3301
omnivore,private,94.5,lpg,1955,wood,Sometimes,24,15,large,4,18,very frequently,3268
omnivore,private,64.5,lpg,9895,natural gas,Sometimes,17,9,large,6,4,very frequently,5935
pescatarian,private,73.5,petrol,2972,coal,No,17,15,small,5,16,frequently,2635
pescatarian,private,48,electric,1246,electricity,No,10,12,extra large,2,33,never,1141
omnivore,private,45,hybrid,9832,electricity,Yes,15,0,small,5,17,very frequently,3738
omnivore,private,90,lpg,9071,electricity,No,23,14,medium,4,11,very frequently,4050
vegan,private,57,lpg,1617,coal,Sometimes,13,12,medium,4,14,very frequently,2947
vegan,private,34.5,petrol,9385,electricity,Sometimes,10,3,medium,2,41,very frequently,5449
vegan,private,70.5,petrol,4195,wood,Yes,21,5,medium,2,43,rarely,3422
pescatarian,private,63,diesel,9346,natural gas,No,20,2,medium,1,14,very frequently,4401
pescatarian,private,37.5,diesel,8975,wood,No,6,13,large,3,30,very frequently,5477
vegetarian,private,24,electric,661,electricity,Yes,4,8,small,1,21,very frequently,2207
vegetarian,private,85.5,lpg,2148,natural gas,No,18,21,large,2,12,rarely,2389
pescatarian,private,66,lpg,7893,coal,Yes,19,6,small,5,48,frequently,3923
vegetarian,private,16.5,hybrid,8691,coal,Yes,5,1,large,1,26,rarely,2421
vegan,private,66,diesel,9722,wood,No,14,16,small,3,21,very frequently,5186
vegan,private,102,electric,6022,natural gas,Yes,24,20,extra large,6,12,never,2002
omnivore,private,27,electric,6826,electricity,Yes,0,18,large,7,26,very frequently,3197
vegan,private,36,lpg,9839,coal,Yes,10,4,small,2,37,never,3931
pescatarian,private,64.5,electric,6775,electricity,No,11,21,small,3,29,rarely,1172
pescatarian,private,39,hybrid,5792,natural gas,Yes,3,20,medium,1,19,never,1846
vegan,private,66,electric,6775,coal,Sometimes,10,24,small,7,27,rarely,1808
vegetarian,private,63,electric,1315,wood,Sometimes,16,10,medium,5,7,rarely,1153
pescatarian,private,81,petrol,8921,natural gas,No,22,10,small,5,35,rarely,4184
vegetarian,private,73.5,lpg,3929,electricity,Yes,20,9,medium,1,3,rarely,2020
pescatarian,private,34.5,electric,7298,wood,Yes,1,21,large,2,44,rarely,1968
omnivore,private,54,hybrid,6011,coal,Sometimes,14,8,medium,1,34,never,2152
vegetarian,private,73.5,electric,6580,natural gas,No,16,17,large,2,3,never,1379
pescatarian,private,33,electric,3694,electricity,Sometimes,1,20,large,4,10,rarely,1511
vegan,private,63,hybrid,7368,electricity,No,13,16,extra large,3,2,rarely,2584
vegetarian,private,45,hybrid,5267,coal,Yes,7,16,extra large,6,44,never,3376
pescatarian,private,84,hybrid,5321,natural gas,No,16,24,medium,2,44,very frequently,3386
vegetarian,private,72,electric,1635,coal,Yes,12,24,large,3,26,frequently,2501
omnivore,private,58.5,hybrid,9658,wood,Yes,17,5,large,2,1,rarely,2218
omnivore,private,34.5,lpg,7843,electricity,Sometimes,0,23,small,1,26,never,2483
vegan,private,63,diesel,4226,electricity,No,15,12,small,7,32,rarely,3045
pescatarian,private,70.5,petrol,4472,coal,Yes,12,23,small,4,0,rarely,2989
vegan,private,72,electric,101,coal,Sometimes,17,14,extra large,2,36,never,1650
omnivore,private,48,diesel,746,wood,No,11,10,large,6,30,frequently,3380
vegan,private,75,hybrid,2638,coal,Yes,23,4,large,6,25,never,2318
pescatarian,private,30,hybrid,7788,coal,No,0,20,small,6,35,very frequently,4882
pescatarian,private,72,electric,2512,electricity,Sometimes,18,12,medium,5,50,frequently,2015
omnivore,private,72,lpg,2597,electricity,Sometimes,20,8,small,6,34,never,2259
vegan,private,45,lpg,3729,coal,Sometimes,7,16,medium,1,26,frequently,3560
pescatarian,private,82.5,electric,7590,natural gas,Sometimes,22,11,extra large,3,35,rarely,2514
pescatarian,private,70.5,hybrid,7943,coal,Sometimes,21,5,extra large,6,49,rarely,4014
vegetarian,private,39,electric,4700,electricity,Yes,5,16,large,2,39,frequently,1933
pescatarian,private,13.5,electric,7398,natural gas,No,0,9,medium,4,32,frequently,2282
vegan,private,27,diesel,8656,electricity,Yes,4,10,medium,1,50,never,3680
pescatarian,private,27,lpg,3826,coal,Sometimes,9,0,small,7,7,rarely,2045
omnivore,private,28.5,petrol,9767,coal,No,3,13,medium,7,3,rarely,5145
vegetarian,private,31.5,hybrid,8877,wood,Yes,9,3,large,7,20,very frequently,4231
omnivore,private,63,hybrid,5539,wood,Yes,15,12,large,4,41,rarely,2686
vegetarian,private,18,petrol,8026,coal,Sometimes,2,8,large,7,26,frequently,6176
vegetarian,private,87,hybrid,6134,electricity,No,24,10,extra large,1,13,never,1864
